gene,ensembl_id,tractability_bucket,sm_bucket_detail,has_antibody_bucket,has_protac_bucket,pr_bucket_detail,ad_association_score,gwas_ad_support,gwas_trait_hits,off_axis,is_anchor,stim_class,collapse_score,cs_Rest,cs_Stim8hr,cs_Stim48hr,stim_specificity
VAV1,ENSG00000141968,ligandable pocket (SM discovery),Structure with Ligand,True,True,Small Molecule Binder,,False,,True,False,activation-gated,0.3962,0.0581974529046629,-0.3019344468636845,0.3961909148658317,activation-gated (spares Rest)
GRSF1,ENSG00000132463,hard/undrugged,,False,False,,,False,,True,False,stim-only(detected),0.3918,,,0.3918037055332172,activation-gated (spares Rest)
ITK,ENSG00000113263,approved/clinical small-molecule,Approved Drug,True,True,Literature,0.0126,True,Asthma; Asthma (adult onset); Atopic dermatitis; adult onset asthma; asthma; atopic eczema,True,False,stim-only(detected),0.3905,,-0.2330694820648267,0.3904803957024825,activation-gated (spares Rest)
PTPRC,ENSG00000081237,ligandable pocket (SM discovery),High-Quality Ligand,True,True,Small Molecule Binder,0.0121,True,Age of onset of adult onset asthma; Asthma; Asthma (adult onset); Eczema; Eczematoid dermatitis; Pediatric asthma; adult onset asthma; age of onset of asthma; asthma; childhood onset asthma,True,False,activation-gated,0.3858,0.0379104743401526,-0.1285306612992462,0.385791505457671,activation-gated (spares Rest)
PHOSPHO2,ENSG00000144362,hard/undrugged,,False,False,,,False,,True,False,stim-only(detected),0.3839,,0.3838807187556611,,activation-gated (spares Rest)
CD3G,ENSG00000160654,ligandable pocket (SM discovery),Structure with Ligand,True,False,,0.0037,False,,True,False,stim-only(detected),0.3817,,-0.2745000441257822,0.38174749299846,activation-gated (spares Rest)
SLC39A6,ENSG00000141424,antibody/surface,,True,False,,,False,,True,False,activation-gated,0.3812,0.1086700951155082,0.3812083734827288,0.1484744883815827,activation-gated (spares Rest)
KDM8,ENSG00000155666,ligandable pocket (SM discovery),Structure with Ligand,False,True,Small Molecule Binder,0.0679,False,,True,False,stim-only(detected),0.3743,,,0.374288633421082,activation-gated (spares Rest)
PLCG1,ENSG00000124181,ligandable pocket (SM discovery),High-Quality Ligand,True,True,Small Molecule Binder,,False,,True,False,stim-only(detected),0.3719,,-0.2418493838494718,0.3719452103676138,activation-gated (spares Rest)
UBA5,ENSG00000081307,ligandable pocket (SM discovery),Structure with Ligand,False,False,,,False,,True,False,activation-gated,0.3675,0.1076886028222621,0.3674504933942862,-0.0912944955046995,activation-gated (spares Rest)
ELP3,ENSG00000134014,ligandable pocket (SM discovery),Structure with Ligand,False,False,,,False,,True,False,activation-gated,0.3672,0.1491190611824587,0.3671546336233751,0.108974106299288,activation-gated (spares Rest)
MITD1,ENSG00000158411,ligandable pocket (SM discovery),Structure with Ligand,True,False,,,False,,True,False,stim-only(detected),0.3636,,,0.3635663769825641,activation-gated (spares Rest)
UFL1,ENSG00000014123,hard/undrugged,,False,False,,,False,,True,False,activation-gated,0.3634,0.0642614571147156,0.3634068340788168,-0.0873686553782799,activation-gated (spares Rest)
UFM1,ENSG00000120686,ligandable pocket (SM discovery),Structure with Ligand,False,False,,,False,,True,False,activation-gated,0.3615,-0.038431739555853,0.3615360598336902,-0.1411354625636298,activation-gated (spares Rest)
ANKRD61,ENSG00000157999,hard/undrugged,,False,False,,,False,,True,False,stim-only(detected),0.3578,,-0.1825675643303965,0.3578488110571522,activation-gated (spares Rest)
LRP5,ENSG00000162337,antibody/surface,,True,False,,,False,,True,False,stim-only(detected),0.3571,,,0.3570962479026021,activation-gated (spares Rest)
HPS1,ENSG00000107521,hard/undrugged,,False,False,,,False,,True,False,activation-gated,0.3564,0.0183069147902191,0.3563773813271641,0.2752728146772847,activation-gated (spares Rest)
AKAP17A,ENSG00000197976,hard/undrugged,,False,False,,,False,,True,False,stim-only(detected),0.355,,0.1424537479582879,0.3549806479211897,activation-gated (spares Rest)
RBPJ,ENSG00000168214,ligandable pocket (SM discovery),Med-Quality Pocket,False,True,Small Molecule Binder,0.0022,False,(exposure-only: allergen exposure measurement),True,False,activation-gated,0.3537,0.074204111557512,0.2265883666752798,0.3537391230048223,activation-gated (spares Rest)
ICE2,ENSG00000128915,hard/undrugged,,False,False,,0.0918,False,(exposure-only: allergen exposure measurement),True,False,stim-only(detected),0.3532,,,0.3532202746934064,activation-gated (spares Rest)
TMEM263,ENSG00000151135,antibody/surface,,True,False,,,False,,True,False,stim-only(detected),0.3527,,,0.3527057558501219,activation-gated (spares Rest)
MTG1,ENSG00000148824,ligandable pocket (SM discovery),Structure with Ligand,True,False,,0.0055,False,,True,False,stim-only(detected),0.351,,,0.351041147300636,activation-gated (spares Rest)
CALCOCO2,ENSG00000136436,ligandable pocket (SM discovery),Structure with Ligand,True,False,,,False,,True,False,stim-only(detected),0.35,,-0.2369191039245534,0.3499803962422227,activation-gated (spares Rest)
NFKB2,ENSG00000077150,approved/clinical small-molecule,Advanced Clinical,False,True,Small Molecule Binder,0.0026,False,,True,False,activation-gated,0.3497,0.1647937725773416,0.3496812840467359,0.2378199307466978,activation-gated (spares Rest)
DNAAF5,ENSG00000164818,hard/undrugged,,False,False,,,False,,True,False,stim-only(detected),0.3491,,,0.3491382464671964,activation-gated (spares Rest)
CBLB,ENSG00000114423,ligandable pocket (SM discovery),Structure with Ligand,True,True,Small Molecule Binder,,False,(exposure-only: allergen exposure measurement),True,False,stim-only(detected),0.3487,,0.3486590223231032,-0.1188344908514521,activation-gated (spares Rest)
INPP5D,ENSG00000168918,approved/clinical small-molecule,Advanced Clinical,True,False,,0.4189,True,"Allergic disease (asthma, hay fever or eczema); Atopic dermatitis; Eczema; Eczematoid dermatitis; Hay fever and/or eczema; allergic disease; allergic rhinitis; asthma; atopic eczema",True,False,stim-only(detected),0.3485,,,0.3485378232228882,activation-gated (spares Rest)
RBM10,ENSG00000182872,hard/undrugged,,False,False,,,False,,True,False,activation-gated,0.342,0.0378553389540287,-0.0347212689530926,0.3419814079659476,activation-gated (spares Rest)
NPC2,ENSG00000119655,ligandable pocket (SM discovery),Structure with Ligand,True,False,,,False,,True,False,activation-gated,0.3403,-0.0459644394426591,-0.0243075231647326,0.3403003978590164,activation-gated (spares Rest)
KLF2,ENSG00000127528,hard/undrugged,,False,False,,0.0074,True,Asthma; asthma,True,False,rest-only(detected),0.3403,0.3402652921533006,,,rest-restricted
RAC2,ENSG00000128340,ligandable pocket (SM discovery),Structure with Ligand,True,True,Small Molecule Binder,,False,,True,False,stim-only(detected),0.3399,,0.0030722632183017,0.3399407747063309,activation-gated (spares Rest)
CFAP298,ENSG00000159079,hard/undrugged,,False,False,,,False,,True,False,activation-gated,0.3386,0.1763245587119195,0.3385641553014108,,activation-gated (spares Rest)
EIF4G1,ENSG00000114867,ligandable pocket (SM discovery),Structure with Ligand,False,False,,,False,,True,False,activation-gated,0.3369,0.1475419777838504,0.3369239083179879,,activation-gated (spares Rest)
FBXO32,ENSG00000156804,hard/undrugged,,False,False,,,False,,True,False,weak/mixed,0.3365,0.2341890852781092,0.1246637917517421,0.3365135045945146,mixed
CD3E,ENSG00000198851,ligandable pocket (SM discovery),Structure with Ligand,True,False,,,False,,True,False,stim-only(detected),0.3358,,-0.2593510445276472,0.335815765407838,activation-gated (spares Rest)
BCL10,ENSG00000142867,hard/undrugged,,False,False,,0.0026,False,,True,False,stim-only(detected),0.3357,,-0.1388530395612761,0.3357277588534786,activation-gated (spares Rest)
CTU2,ENSG00000174177,hard/undrugged,,False,False,,,False,,True,False,activation-gated,0.3354,0.011469870965227,0.3353920250997306,,activation-gated (spares Rest)
NDUFAF3,ENSG00000178057,approved/clinical small-molecule,Approved Drug,False,False,,,False,,True,False,stim-only(detected),0.3354,,,0.3353915905872473,activation-gated (spares Rest)
TASOR,ENSG00000163946,hard/undrugged,,False,False,,,True,Asthma; Eczema; Eczematoid dermatitis; asthma,True,False,activation-gated,0.335,0.1188973406608024,0.023957560585295,0.3350103507453072,activation-gated (spares Rest)
QRSL1,ENSG00000130348,hard/undrugged,,False,False,,,False,,True,False,stim-only(detected),0.3347,,0.1156857528884148,0.3347292003413774,activation-gated (spares Rest)
CDK5RAP3,ENSG00000108465,hard/undrugged,,False,False,,0.0339,False,,True,False,activation-gated,0.3341,-0.004225280961046,0.3340737410516068,-0.1982503211787736,activation-gated (spares Rest)
TMEM140,ENSG00000146859,antibody/surface,,True,False,,,False,,True,False,stim-only(detected),0.3334,,,0.3333834999500609,activation-gated (spares Rest)
SHOC2,ENSG00000108061,ligandable pocket (SM discovery),Structure with Ligand,False,False,,,False,,True,False,stim-only(detected),0.3333,,-0.2430479105480051,0.3333166376857156,activation-gated (spares Rest)
ATP5ME,ENSG00000169020,ligandable pocket (SM discovery),Structure with Ligand,False,False,,,False,,True,False,activation-gated,0.3321,-0.0329089109659049,-0.1057454025182712,0.3320729870710217,activation-gated (spares Rest)
CCDC136,ENSG00000128596,antibody/surface,,True,False,,,False,,True,False,stim-only(detected),0.332,,,0.3319892325142105,activation-gated (spares Rest)
ZAP70,ENSG00000115085,ligandable pocket (SM discovery),Structure with Ligand,True,True,Small Molecule Binder,0.0028,False,,True,False,activation-gated,0.3302,0.1544963085313778,-0.2259509290387489,0.3301911993596196,activation-gated (spares Rest)
KTN1,ENSG00000126777,antibody/surface,,True,False,,,False,,True,False,stim-only(detected),0.3301,,0.33007866858672,,activation-gated (spares Rest)
CARMIL2,ENSG00000159753,antibody/surface,,True,False,,0.0043,False,,True,False,activation-gated,0.3297,0.1601763642864292,-0.2731818022004456,0.3297390667908278,activation-gated (spares Rest)
UQCRC2,ENSG00000140740,ligandable pocket (SM discovery),Structure with Ligand,True,False,,,False,,True,False,stim-only(detected),0.3293,,0.1202194737824083,0.3292590608743576,activation-gated (spares Rest)
SENP1,ENSG00000079387,ligandable pocket (SM discovery),High-Quality Ligand,False,True,Small Molecule Binder,,False,,True,False,activation-gated,0.3287,0.0381375328896843,-0.0175521359272063,0.3287221025732148,activation-gated (spares Rest)
GNE,ENSG00000159921,ligandable pocket (SM discovery),Structure with Ligand,False,False,,,False,,True,False,stim-only(detected),0.3282,,,0.3282178958837894,activation-gated (spares Rest)
CBX5,ENSG00000094916,degrader handle (PROTAC),,False,True,Small Molecule Binder,,False,,True,False,stim-only(detected),0.3279,,0.1398732949878528,0.3279371357861785,activation-gated (spares Rest)
DOHH,ENSG00000129932,ligandable pocket (SM discovery),Structure with Ligand,False,True,Small Molecule Binder,,False,,True,False,activation-gated,0.3278,0.111980121569458,0.327825408163523,0.2038938898942143,activation-gated (spares Rest)
