gene,name,ad_decision_tier,axis_membership,best_modality,tractability,tract_sm,tract_ab,n_existing_drugs,max_clinical_stage,kd_mimicking_drug,example_drugs,Tcell_log2FC_les_vs_healthy,Tcell_frac_expr_Lesional,expr_robust,ad_upreg_call_Tcell,AllCells_log2FC_les_vs_healthy,ad_genetic,sel_confidence,condition_class,novelty_tier,lead_score,ad_target_score
CYBC1,cytochrome b-245 chaperone 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.6,0,0.0,False,,0.8877,0.1457,True,up,1.2743,0.0,0.583,early-kinetic,N,0.4804,0.4405
GTF2A1,general transcription factor IIA subunit 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.8188,0.0495,False,up,0.6409,0.0,0.616,early-kinetic,N,0.4801,0.4412
RAB11FIP5,RAB11 family interacting protein 5,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.965,0.0419,False,up,0.6585,0.0,0.664,rest-restricted,N,0.4794,0.4346
RAB39B,"RAB39B, member RAS oncogene family","AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.65,0,0.0,False,,0.8383,0.0253,False,up,0.2164,0.0,0.595,late-kinetic,N,0.4777,0.439
NR4A3,nuclear receptor subfamily 4 group A member 3,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",off_axis,small_molecule,0.65,0.65,0.0,0,0.0,False,,0.9897,0.0605,False,up,0.2397,0.3495,0.63,early-kinetic,N,0.4751,0.4389
L3MBTL3,L3MBTL histone methyl-lysine binding protein 3,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.5533,0.0283,False,up,0.5039,0.0,0.717,late-kinetic,N,0.4736,0.4395
ARL6IP5,ARF like GTPase 6 interacting protein 5,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.812,0.521,True,up,0.4968,0.0,0.708,rest-restricted,N,0.4729,0.4315
SLC4A7,solute carrier family 4 member 7,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.65,0.0,0.65,0,0.0,False,,0.9369,0.1281,True,up,1.5667,0.0,0.584,late-kinetic,N,0.4729,0.4318
AMFR,autocrine motility factor receptor,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.8063,0.0336,False,up,0.7233,0.0,0.707,early-kinetic,N,0.4721,0.4309
MRPL52,mitochondrial ribosomal protein L52,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.8304,0.2291,True,up,0.9834,0.0,0.568,late-kinetic,N,0.4717,0.4343
NAGK,N-acetylglucosamine kinase,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.6869,0.0859,False,up,0.952,0.0,0.639,rest-restricted,N,0.4715,0.436
ARHGAP17,Rho GTPase activating protein 17,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.7418,0.0298,False,up,0.8863,0.0,0.726,activation-gated,N,0.4693,0.4296
RCOR1,REST corepressor 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,1.1574,0.0604,False,up,0.9698,0.0,0.71,early-kinetic,N,0.4689,0.4213
BTN3A2,butyrophilin subfamily 3 member A2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.65,0.0,0.65,0,0.0,False,,0.5751,0.1009,True,up,0.5922,0.0,0.741,early-kinetic,N,0.4683,0.433
IDE,insulin degrading enzyme,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.65,0,0.0,False,,0.8069,0.0234,False,up,1.2732,0.0,0.556,rest-restricted,N,0.4669,0.4308
C2CD5,C2 calcium dependent domain containing 5,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.65,0.0,0.65,0,0.0,False,,0.5789,0.0233,False,up,0.7317,0.0,0.73,activation-gated,P,0.4664,0.4314
EPS15L1,epidermal growth factor receptor pathway substrate 15 like 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.8534,0.0256,False,up,0.7473,0.0,0.654,early-kinetic,P,0.466,0.4254
MAPKAPK2,MAPK activated protein kinase 2,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",off_axis,small_molecule,0.85,0.85,0.0,1,1.0,True,AT-13148,0.6811,0.0991,False,up,1.073,0.0,0.591,late-kinetic,N,0.4655,0.461
LIMA1,LIM domain and actin binding 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.9019,0.1538,True,up,0.5311,0.0,0.616,late-kinetic,N,0.4635,0.4228
PPP6R3,protein phosphatase 6 regulatory subunit 3,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.6532,0.0719,False,up,0.6348,0.0,0.738,late-kinetic,N,0.463,0.4257
ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase","AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.65,0.65,0.0,0,0.0,False,,0.7721,0.0596,False,up,0.4054,0.0,0.608,early-kinetic,N,0.4612,0.4247
SUCLG1,succinate-CoA ligase GDP/ADP-forming subunit alpha,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.5,0,0.0,False,,0.5163,0.1335,True,up,0.5705,0.0,0.661,early-kinetic,N,0.4588,0.4282
ATP6V0A2,ATPase H+ transporting V0 subunit a2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.9245,0.0313,False,up,0.7832,0.0,0.571,late-kinetic,N,0.4566,0.417
MAP3K14,mitogen-activated protein kinase kinase kinase 14,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.7822,0.021,False,up,1.7391,0.3445,0.568,early-kinetic,N,0.4564,0.4279
HIPK2,homeodomain interacting protein kinase 2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.5714,0.051,False,up,1.0243,0.0,0.601,early-kinetic,N,0.4522,0.4222
LBR,lamin B receptor,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.869,0.0906,False,up,0.5096,0.0,0.57,rest-restricted,N,0.451,0.4132
PKN1,protein kinase N1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.5,0,0.0,False,,0.5361,0.0918,False,up,1.0405,0.0,0.601,activation-gated,N,0.4489,0.42
ATAD2B,ATPase family AAA domain containing 2B,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.5397,0.0338,False,up,0.7715,0.0,0.593,early-kinetic,N,0.4476,0.4189
MRPS15,mitochondrial ribosomal protein S15,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,1.1515,0.1319,True,up,1.0252,0.0,0.585,rest-restricted,N,0.4463,0.4034
PRDX5,peroxiredoxin 5,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.5546,0.2737,True,up,0.4387,0.0,0.579,rest-restricted,N,0.4463,0.4176
NOA1,nitric oxide associated 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.65,0,0.0,False,,0.5514,0.0466,False,up,0.1895,0.0,0.578,late-kinetic,N,0.4458,0.4173
GDI2,GDP dissociation inhibitor 2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.7953,0.2196,True,up,0.4215,0.0,0.575,early-kinetic,N,0.4445,0.409
TUT7,terminal uridylyl transferase 7,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.904,0.056,False,up,0.9671,0.0,0.695,early-kinetic,N,0.4438,0.4043
PTPA,protein phosphatase 2 phosphatase activator,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.5902,0.0414,False,up,1.1816,0.3719,0.572,late-kinetic,N,0.4438,0.421
GNG5,G protein subunit gamma 5,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.65,0.0,0.65,0,0.0,False,,0.5521,0.3452,True,up,0.5621,0.0,0.627,late-kinetic,N,0.4431,0.4131
NUMA1,nuclear mitotic apparatus protein 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.65,0.0,0.65,0,0.0,False,,0.6165,0.0996,False,up,0.3481,0.0,0.594,rest-restricted,N,0.4431,0.4122
HERC1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.45,0,0.0,False,,0.547,0.083,False,up,0.6846,0.0,0.551,early-kinetic,N,0.4398,0.4126
SWAP70,switching B cell complex subunit SWAP70,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.7406,0.0206,False,up,0.4826,0.0,0.577,rest-restricted,N,0.4395,0.4057
DMAC1,distal membrane arm assembly component 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.5574,0.0866,False,up,0.3751,0.0,0.666,late-kinetic,N,0.439,0.4078
SNX17,sorting nexin 17,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.65,0.0,0.65,0,0.0,False,,0.5342,0.1197,True,up,0.5582,0.0,0.601,early-kinetic,N,0.4361,0.4078
SFXN3,sideroflexin 3,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.5822,0.0455,False,up,0.9113,0.0,0.637,early-kinetic,N,0.4356,0.4047
UBR5,ubiquitin protein ligase E3 component n-recognin 5,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.9361,0.0759,False,up,0.4316,0.0,0.624,rest-restricted,N,0.4342,0.3962
TDRD3,tudor domain containing 3,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.8242,0.0314,False,up,0.4517,0.0,0.651,activation-gated,N,0.4292,0.3935
SLC39A3,solute carrier family 39 member 3,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.5103,0.0328,False,up,1.215,0.0,0.635,early-kinetic,N,0.428,0.3996
ATP2C1,ATPase secretory pathway Ca2+ transporting 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.6,0,0.0,False,,0.655,0.0479,False,up,0.694,0.0,0.678,rest-restricted,N,0.4189,0.3873
TOLLIP,toll interacting protein,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.5445,0.0509,False,up,1.1624,0.0,0.564,late-kinetic,N,0.4174,0.3906
BRD7,bromodomain containing 7,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.626,0.1075,True,up,0.612,0.0,0.673,early-kinetic,N,0.4156,0.385
ATP5MF,ATP synthase membrane subunit f,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.6,0,0.0,False,,0.6817,0.3467,True,up,0.7878,0.0,0.645,rest-restricted,N,0.4154,0.3842
KTN1,kinectin 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.6585,0.2851,True,up,0.7031,0.0,0.728,late-kinetic,N,0.4062,0.3735
CBR3,carbonyl reductase 3,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,1.14,0.049,False,up,0.7095,0.0,0.578,late-kinetic,N,0.4037,0.3652
CSNK2A2,casein kinase 2 alpha 2,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.5446,0.0676,False,up,0.648,0.0,0.638,early-kinetic,N,0.4023,0.3753
CPOX,coproporphyrinogen oxidase,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.65,0.65,0.0,0,0.0,False,,0.5058,0.0362,False,up,0.3541,0.0,0.701,early-kinetic,N,0.399,0.3713
ZMYND19,zinc finger MYND-type containing 19,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.65,0.0,0.65,0,0.0,False,,0.579,0.0218,False,up,1.3186,0.0748,0.601,rest-restricted,N,0.3976,0.372
BRD9,bromodomain containing 9,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.582,0.1214,True,up,0.3085,0.0,0.58,late-kinetic,N,0.3953,0.3692
XRN1,5'-3' exoribonuclease 1,"AD-2: off-axis, patient-up, tractable, selective",off_axis,antibody,0.6,0.0,0.6,0,0.0,False,,0.7672,0.0956,False,up,0.6312,0.0,0.569,late-kinetic,N,0.3877,0.3575
TPMT,thiopurine S-methyltransferase,"AD-2: off-axis, patient-up, tractable, selective",off_axis,small_molecule,0.7,0.7,0.0,0,0.0,False,,0.5418,0.0472,False,up,1.0571,0.0,0.583,rest-restricted,N,0.3567,0.334
