gene,ensembl,name,biotype,axis_membership,off_axis,novelty_tier,condition_class,best_condition,sel_confidence,evidence_tier,ad_decision_tier,best_modality,tractability,tract_sm,tract_ab,tract_pr,n_existing_drugs,max_clinical_stage,kd_mimicking_drug,example_drugs,ad_genetic,ad_overall,Tcell_log2FC_les_vs_healthy,Tcell_frac_expr_Lesional,ad_upreg_call_Tcell,AllCells_log2FC_les_vs_healthy,AllCells_frac_expr_Lesional,ad_upreg_call_AllCells,c_tractability,c_patient_upreg,c_ad_genetic,c_sel_conf,c_drug_precedent,c_offaxis,c_safety_penalty,ad_target_score
PARP1,ENSG00000143799,poly(ADP-ribose) polymerase 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.576,B: drug-precedented+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,1.0,1.0,0.0,0.55,13,4.0,True,"2X-121, AMELPARIB DIHYDROCHLORIDE DIHYDRATE, E-7016, NIRAPARIB, NIRAPARIB TOSYLATE MONOHYDRATE",0.0,0.0145984042600457,0.4608,0.13,flat,0.5975,0.1636,up,1.0,0.154,0.0,0.576,1.0,1.0,0.3,0.5306
TXK,ENSG00000074966,TXK tyrosine kinase,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.615,C: tractable+selective,AD-5: other off-axis,small_molecule,1.0,1.0,0.65,0.5,2,4.0,False,"RITLECITINIB, RITLECITINIB TOSYLATE",0.0,0.0049893280382434,1.2688,0.0084,not_detected_Tcell,0.8969,0.0036,not_detected,1.0,0.0,0.0,0.615,0.6,1.0,0.0,0.5304
GLA,ENSG00000102393,galactosidase alpha,protein_coding,off_axis,True,N,rest-restricted,Rest,0.602,C: tractable+selective,AD-5: other off-axis,small_molecule,1.0,1.0,0.6,0.5,2,4.0,False,"MIGALASTAT, MIGALASTAT HYDROCHLORIDE",0.0,0.0014783194187388,-0.527,0.0562,down,0.032,0.1153,flat,1.0,0.0,0.0,0.602,0.6,1.0,0.0,0.5283
HDAC3,ENSG00000171720,histone deacetylase 3,protein_coding,off_axis,True,P,rest-restricted,Rest,0.498,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.6,0.55,14,4.0,True,"ABEXINOSTAT, BELINOSTAT, CUDC-101, ENTINOSTAT, FIMEPINOSTAT",0.0,0.0234036317271653,,,,,,,1.0,0.0,0.0,0.498,1.0,1.0,0.167,0.5223
NDUFB10,ENSG00000140990,NADH:ubiquinone oxidoreductase subunit B10,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.544,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.65,0.0,3,4.0,False,"ME-344, METFORMIN, METFORMIN HYDROCHLORIDE",0.0,0.0,,,,,,,1.0,0.0,0.0,0.544,0.6,1.0,0.0,0.519
MC1R,ENSG00000258839,melanocortin 1 receptor,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.425,D: tractable only,AD-5: other off-axis,small_molecule,0.9,0.9,0.65,0.5,4,4.0,False,"AFAMELANOTIDE, AFAMELANOTIDE ACETATE, DERSIMELAGON, MODIMELANOTIDE",0.258608011223057,0.1590636738050116,0.5632,0.0045,not_detected_Tcell,0.4245,0.0101,not_detected,0.9,0.0,0.258608011223057,0.425,0.6,1.0,0.0,0.5174
IGF1R,ENSG00000140443,insulin like growth factor 1 receptor,protein_coding,JAK_interactor,False,N,early-kinetic,Stim8hr,0.641,B: drug-precedented+selective,OnAxis (IL4R/STAT6 or interactor),small_molecule,1.0,1.0,1.0,0.55,20,4.0,True,"AEW-541, AXL-1717, BIIB-022, BMS-754807, CIXUTUMUMAB",0.0,0.0044349582562164,-0.0338,0.0053,not_detected_Tcell,0.6199,0.1267,up,1.0,0.145,0.0,0.641,1.0,0.5,0.167,0.5147
CHRNB1,ENSG00000170175,cholinergic receptor nicotinic beta 1 subunit,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.509,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.6,0.5,21,4.0,False,"ATRACURIUM, ATRACURIUM BESYLATE, CISATRACURIUM, CISATRACURIUM BESYLATE, DECAMETHONIUM",0.0,0.0,,,,,,,1.0,0.0,0.0,0.509,0.6,1.0,0.0,0.5134
BAK1,ENSG00000030110,BCL2 antagonist/killer 1,protein_coding,off_axis,True,N,activation-gated,Stim8hr,0.76,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.5,0,0.0,False,,0.0,0.0,1.454,0.0576,up,2.0102,0.1133,up,0.7,0.485,0.0,0.76,0.0,1.0,0.0,0.5066
CACNA1D,ENSG00000157388,calcium voltage-gated channel subunit alpha1 D,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.463,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.6,0.5,41,4.0,False,"AMLODIPINE, AMLODIPINE BENZOATE, AMLODIPINE BESYLATE, ATAGABALIN, AZD1305",0.0,0.0,,,,,,,1.0,0.0,0.0,0.463,0.6,1.0,0.0,0.5061
CLCN2,ENSG00000114859,chloride voltage-gated channel 2,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.448,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.65,0.0,2,4.0,False,"COBIPROSTONE, LUBIPROSTONE",0.0,0.0,,,,,,,1.0,0.0,0.0,0.448,0.6,1.0,0.0,0.5037
PRORP,ENSG00000100890,protein only RNase P catalytic subunit,protein_coding,off_axis,True,N,constitutive,Stim48hr,0.741,A: genetics+tractable+selective,"AD-3: off-axis, AD-genetics, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.5819052316794472,0.3537581116292614,1.6069,0.0085,not_detected_Tcell,0.6634,0.0114,not_detected,0.7,0.0,0.5819052316794472,0.741,0.0,1.0,0.0,0.4997
GUCY1A1,ENSG00000164116,guanylate cyclase 1 soluble subunit alpha 1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.421,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.0,0.5,15,4.0,False,"ATACIGUAT, CINACIGUAT, ISOSORBIDE DINITRATE, ISOSORBIDE MONONITRATE, METHYLENE BLUE ANHYDROUS",0.0,0.0,,,,,,,1.0,0.0,0.0,0.421,0.6,1.0,0.0,0.4994
ARRDC1,ENSG00000197070,arrestin domain containing 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.576,A: genetics+tractable+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.6557675118041575,0.402632677520183,0.3844,0.0784,flat,0.8424,0.1413,up,0.65,0.128,0.6557675118041575,0.576,0.0,1.0,0.0,0.4987
CACNB4,ENSG00000182389,calcium voltage-gated channel auxiliary subunit beta 4,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.385,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.6,0.0,10,4.0,False,"ATAGABALIN, BEPRIDIL, GABAPENTIN, GABAPENTIN ENACARBIL, IMAGABALIN",0.0,0.0,,,,,,,1.0,0.0,0.0,0.385,0.6,1.0,0.0,0.4936
ACVR1,ENSG00000115170,activin A receptor type 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.527,D: tractable only,AD-5: other off-axis,small_molecule,0.7,0.7,0.6,0.5,6,4.0,True,"DIBOTERMIN ALFA, EPTOTERMIN ALFA, MOMELOTINIB, MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE, PACRITINIB",0.0,0.0,,,,,,,0.7,0.0,0.0,0.527,1.0,1.0,0.0,0.4923
PRKAB1,ENSG00000111725,protein kinase AMP-activated non-catalytic subunit beta 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.555,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.9,0.9,0.0,0.5,1,4.0,False,ACADESINE,0.0,0.0044349582562164,0.4428,0.0137,not_detected_Tcell,0.5812,0.0396,up,0.9,0.136,0.0,0.555,0.6,1.0,0.167,0.489
PRKACB,ENSG00000142875,protein kinase cAMP-activated catalytic subunit beta,protein_coding,off_axis,True,N,rest-restricted,Rest,0.726,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.85,0.85,0.65,0.5,1,1.0,False,GSK-690693,0.0,0.0,0.4179,0.1077,flat,0.8427,0.0575,up,0.85,0.139,0.0,0.726,0.15,1.0,0.0,0.486
WARS1,ENSG00000140105,tryptophanyl-tRNA synthetase 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.626,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0027718489101352,1.4533,0.025,up,1.6016,0.1244,up,0.7,0.484,0.0,0.626,0.0,1.0,0.0,0.485
LMNB1,ENSG00000113368,lamin B1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.716,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0072410979553042,2.1913,0.0591,up,1.3327,0.0549,up,0.7,0.73,0.0,0.716,0.0,1.0,0.3,0.4827
CTLA4,ENSG00000163599,cytotoxic T-lymphocyte associated protein 4,protein_coding,IL4R_STAT6_interactor,False,N,late-kinetic,Stim48hr,0.576,B: drug-precedented+selective,OnAxis (IL4R/STAT6 or interactor),antibody,1.0,0.7,1.0,0.0,6,4.0,True,"CADONILIMAB, ERFONRILIMAB, IPILIMUMAB, QUAVONLIMAB, TREMELIMUMAB",0.0,0.0230475373876727,2.2253,0.1406,up,2.7327,0.0175,not_detected,1.0,0.742,0.0,0.576,1.0,0.0,0.5,0.4804
SPP1,ENSG00000118785,secreted phosphoprotein 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.484,D: tractable only,AD-5: other off-axis,antibody,0.9,0.0,0.9,0.0,1,2.0,True,ASK-8007,0.0,0.0086851265850904,,,,,,,0.9,0.0,0.0,0.484,0.5,1.0,0.0,0.4734
SLC4A2,ENSG00000164889,solute carrier family 4 member 2,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.64,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,1.1718,0.0362,up,1.0317,0.094,up,0.7,0.391,0.0,0.64,0.0,1.0,0.0,0.4686
THG1L,ENSG00000113272,tRNA-histidine guanylyltransferase 1 like,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.623,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,1.2118,0.0357,up,0.7215,0.0762,up,0.7,0.404,0.0,0.623,0.0,1.0,0.0,0.4685
IL1RL1,ENSG00000115602,interleukin 1 receptor like 1,protein_coding,IL4R_STAT6_interactor,False,N,early-kinetic,Stim8hr,0.57,A: genetics+tractable+selective,OnAxis (IL4R/STAT6 or interactor),antibody,0.9,0.0,0.9,0.0,1,3.0,False,ASTEGOLIMAB,0.6702933288924541,0.4272224072815775,0.1145,0.0022,not_detected_Tcell,0.0614,0.0118,not_detected,0.9,0.0,0.6702933288924541,0.57,0.45,0.0,0.0,0.4684
SSBP4,ENSG00000130511,single stranded DNA binding protein 4,protein_coding,off_axis,True,N,rest-restricted,Rest,0.674,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,1.0699,0.1157,up,0.8217,0.1762,up,0.7,0.357,0.0,0.674,0.0,1.0,0.0,0.4672
MAP3K12,ENSG00000139625,mitogen-activated protein kinase kinase kinase 12,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.463,D: tractable only,AD-5: other off-axis,small_molecule,0.9,0.9,0.6,0.55,1,3.0,True,CEP-1347,0.0,0.0,,,,,,,0.9,0.0,0.0,0.463,0.75,1.0,0.167,0.4667
FLT4,ENSG00000037280,fms related receptor tyrosine kinase 4,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.362,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.85,0.5,47,4.0,True,"4SC-203, AXITINIB, BMS-690514, BRIVANIB, BRIVANIB ALANINATE",0.0,0.0096090762218022,,,,,,,1.0,0.0,0.0,0.362,1.0,1.0,0.333,0.4663
ME2,ENSG00000082212,malic enzyme 2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.574,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,1.2605,0.0527,up,1.0789,0.0789,up,0.7,0.42,0.0,0.574,0.0,1.0,0.0,0.4638
LDHB,ENSG00000111716,lactate dehydrogenase B,protein_coding,off_axis,True,N,rest-restricted,Rest,0.759,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.65,0.5,0,0.0,False,,0.0,0.0,0.8117,0.4553,up,0.1653,0.3023,flat,0.7,0.271,0.0,0.759,0.0,1.0,0.0,0.4636
MAPKAPK2,ENSG00000162889,MAPK activated protein kinase 2,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.591,B: drug-precedented+selective,"AD-1: off-axis, patient-up, tractable, selective (+genetics/drug)",small_molecule,0.85,0.85,0.0,0.55,1,1.0,True,AT-13148,0.0,0.0,0.6811,0.0991,up,1.073,0.2149,up,0.85,0.227,0.0,0.591,0.25,1.0,0.167,0.461
APOL1,ENSG00000100342,apolipoprotein L1,protein_coding,off_axis,True,N,rest-restricted,Rest,0.575,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.65,0.65,0.6,0.5,0,0.0,False,,0.0,0.0,1.7491,0.0088,not_detected_Tcell,1.9829,0.0607,up,0.65,0.463,0.0,0.575,0.0,1.0,0.0,0.4606
LYN,ENSG00000254087,"LYN proto-oncogene, Src family tyrosine kinase",protein_coding,JAK_interactor,False,N,late-kinetic,Stim48hr,0.437,D: tractable only,OnAxis (IL4R/STAT6 or interactor),small_molecule,1.0,1.0,0.6,0.55,9,4.0,True,"BAFETINIB, BOSUTINIB, DASATINIB ANHYDROUS, ENMD-981693, ILORASERTIB",0.0,0.007945966875721,,,,,,,1.0,0.0,0.0,0.437,1.0,0.5,0.167,0.4572
SREBF2,ENSG00000198911,sterol regulatory element binding transcription factor 2,protein_coding,off_axis,True,N,activation-gated,Stim8hr,0.738,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.45,0.6,0.5,0,0.0,False,,0.0,0.0548086924497412,1.1219,0.0436,up,1.2431,0.1385,up,0.6,0.374,0.0,0.738,0.0,1.0,0.0,0.4569
GFUS,ENSG00000104522,GDP-L-fucose synthase,protein_coding,off_axis,True,N,rest-restricted,Rest,0.679,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0032409442813342,0.9019,0.1294,up,1.0981,0.3466,up,0.7,0.301,0.0,0.679,0.0,1.0,0.0,0.4568
RNPEP,ENSG00000176393,arginyl aminopeptidase,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.519,D: tractable only,AD-5: other off-axis,small_molecule,0.9,0.9,0.6,0.5,1,2.0,False,TOSEDOSTAT,0.0,0.0,,,,,,,0.9,0.0,0.0,0.519,0.3,1.0,0.0,0.455
TRMT61A,ENSG00000166166,tRNA methyltransferase 61A,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.736,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.9626,0.0191,not_detected_Tcell,0.993,0.09,up,0.7,0.232,0.0,0.736,0.0,1.0,0.0,0.4522
SLC29A1,ENSG00000112759,solute carrier family 29 member 1 (Augustine blood group),protein_coding,off_axis,True,N,activation-gated,Stim48hr,0.514,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.65,0.5,1,4.0,True,DIPYRIDAMOLE,0.0,0.0022174791281082,,,,,,,1.0,0.0,0.0,0.514,1.0,1.0,0.5,0.4498
PPP3CA,ENSG00000138814,protein phosphatase 3 catalytic subunit alpha,protein_coding,off_axis,True,N,rest-restricted,Rest,0.71,B: drug-precedented+selective,AD-5: other off-axis,antibody,0.65,0.45,0.65,0.5,1,4.0,True,VOCLOSPORIN,0.0,0.007391597093694,-0.053,0.0931,flat,0.191,0.2543,flat,0.65,0.0,0.0,0.71,1.0,1.0,0.3,0.4484
SMIM5,ENSG00000204323,small integral membrane protein 5,protein_coding,off_axis,True,N,rest-restricted,Rest,0.597,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.0,0.0,1.1041,0.0025,not_detected_Tcell,1.8926,0.0595,up,0.6,0.442,0.0,0.597,0.0,1.0,0.0,0.4479
CCR5,ENSG00000160791,C-C motif chemokine receptor 5,protein_coding,IL4R_STAT6_interactor,False,N,early-kinetic,Stim8hr,0.536,D: tractable only,OnAxis (IL4R/STAT6 or interactor),small_molecule,1.0,1.0,0.9,0.5,13,4.0,True,"APLAVIROC, APLAVIROC HYDROCHLORIDE, AZD5672, BMS-813160, CCR5MAB004",0.0,0.0128531660573679,,,,,,,1.0,0.0,0.0,0.536,1.0,0.0,0.0,0.4458
SLC36A1,ENSG00000123643,solute carrier family 36 member 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.678,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",antibody,0.65,0.0,0.65,0.0,0,0.0,False,,0.0,0.0,1.0786,0.0049,not_detected_Tcell,1.3078,0.0268,up,0.65,0.305,0.0,0.678,0.0,1.0,0.0,0.4455
CDK20,ENSG00000156345,cyclin dependent kinase 20,protein_coding,off_axis,True,N,rest-restricted,Rest,0.459,D: tractable only,AD-5: other off-axis,small_molecule,0.9,0.9,0.0,0.5,4,2.0,False,"AT-7519, AZD-5438, PHA-793887, RONICICLIB",0.0,0.0,,,,,,,0.9,0.0,0.0,0.459,0.3,1.0,0.0,0.4454
YTHDF2,ENSG00000198492,YTH N6-methyladenosine RNA binding protein F2,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.638,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.8118,0.1148,up,0.3045,0.2727,flat,0.7,0.271,0.0,0.638,0.0,1.0,0.0,0.4443
SPAST,ENSG00000021574,spastin,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.582,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.65,0.0,0,0.0,False,,0.0,0.0,0.9349,0.0344,up,0.5363,0.0634,up,0.7,0.312,0.0,0.582,0.0,1.0,0.0,0.4435
LDB1,ENSG00000198728,LIM domain binding 1,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.599,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.0,0,0.0,False,,0.0,0.0,0.8848,0.0315,up,0.4809,0.0786,flat,0.7,0.295,0.0,0.599,0.0,1.0,0.0,0.4428
MAOB,ENSG00000069535,monoamine oxidase B,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.453,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.6,0.5,18,4.0,True,"IPRONIAZID, ISOCARBOXAZID, MEBANAZINE, NIALAMIDE, PARGYLINE",0.0,0.0032455270905561,,,,,,,1.0,0.0,0.0,0.453,1.0,1.0,0.5,0.442
GTF2A1,ENSG00000165417,general transcription factor IIA subunit 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.616,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.8188,0.0495,up,0.6409,0.1154,up,0.7,0.273,0.0,0.616,0.0,1.0,0.0,0.4412
PDE6C,ENSG00000095464,phosphodiesterase 6C,protein_coding,off_axis,True,N,late-kinetic,Stim48hr,0.43,D: tractable only,AD-5: other off-axis,small_molecule,1.0,1.0,0.65,0.5,2,4.0,False,"DIPYRIDAMOLE, PENTOXIFYLLINE",0.0,0.0,,,,,,,1.0,0.0,0.0,0.43,0.6,1.0,0.3,0.4407
CYBC1,ENSG00000178927,cytochrome b-245 chaperone 1,protein_coding,off_axis,True,N,early-kinetic,Stim8hr,0.583,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.6,0.0,0,0.0,False,,0.0,0.0,0.8877,0.1457,up,1.2743,0.1766,up,0.7,0.296,0.0,0.583,0.0,1.0,0.0,0.4405
L3MBTL3,ENSG00000198945,L3MBTL histone methyl-lysine binding protein 3,protein_coding,off_axis,True,N,late-kinetic,Rest,0.717,C: tractable+selective,"AD-2: off-axis, patient-up, tractable, selective",small_molecule,0.7,0.7,0.0,0.5,0,0.0,False,,0.0,0.0,0.5533,0.0283,up,0.5039,0.0258,up,0.7,0.184,0.0,0.717,0.0,1.0,0.0,0.4395
CPVL,ENSG00000106066,carboxypeptidase vitellogenic like,protein_coding,off_axis,True,N,rest-restricted,Rest,0.43,D: tractable only,"AD-4: off-axis, patient-up, tractable",antibody,0.6,0.0,0.6,0.0,0,0.0,False,,0.2648112655426391,0.1609869238778793,1.0705,0.0079,not_detected_Tcell,1.3736,0.0818,up,0.6,0.321,0.2648112655426391,0.43,0.0,1.0,0.0,0.4394
